2960950,Whitegate,Whitegate,"",53.73333,-7.31667,P,PPL,IE,"",L,29,"","",0,"",149,Europe/Dublin,1993-12-27
2960951,Whitegate,Whitegate,"An Geata Ban,An Geata Bán,Whitegate",52.94917,-8.37139,P,PPL,IE,"",M,03,"","",176,"",43,Europe/Dublin,2013-11-26
2960952,Whitegate,Whitegate,"An Geata Ban,An Geata Bán,Whitegate",51.83056,-8.22972,P,PPL,IE,"",M,04,"","",1067,"",42,Europe/Dublin,2013-11-26
2960953,Whitechurch,Whitechurch,"",52.37139,-7.39306,P,PPL,IE,"",L,13,"","",0,"",14,Europe/Dublin,2010-08-14
2960954,Whitechurch,Whitechurch,"",52.31778,-6.96611,P,PPL,IE,"",L,30,"","",0,"",34,Europe/Dublin,2010-08-14
2960955,Whitechurch,Whitechurch,"",52.10944,-7.74944,P,PPL,IE,"",M,44,"","",0,"",15,Europe/Dublin,2017-07-25
2960956,Whitechurch,Whitechurch,"",51.98139,-8.51389,P,PPL,IE,"",M,04,"","",573,"",180,Europe/Dublin,2013-11-26
2960957,White Castle,White Castle,"",55.13333,-7.16667,P,PPL,IE,"",U,06,"","",0,"",-9999,Europe/Dublin,1993-12-27
2960958,White Ball Head,White Ball Head,"",51.59667,-10.055,T,CAPE,IE,"",M,04,"","",0,"",-9999,Europe/Dublin,2010-08-14
2960959,Whiddy Island,Whiddy Island,Whiddy Island,51.70139,-9.49972,T,ISL,IE,"",M,04,"","",0,"",-9999,Europe/Dublin,2012-01-18
2960960,Wheelam Cross Roads,Wheelam Cross Roads,"",53.20278,-6.87083,P,PPL,IE,"",L,12,"","",0,"",82,Europe/Dublin,2010-08-14
2960961,Whale Head,Whale Head,"",55.0525,-7.57389,T,CAPE,IE,"",U,06,"","",0,"",23,Europe/Dublin,2010-08-14
2960962,Wexford Harbour,Wexford Harbour,Wexford Harbour,52.33833,-6.40417,H,HBR,IE,"",L,30,"","",0,"",-9999,Europe/Dublin,2012-01-18
2960963,Loch Garman,Loch Garman,"Contae Loch Garman,County Wexford,Wexford",52.5,-6.66667,A,ADM2,IE,"",L,30,"","",145320,"",94,Europe/Dublin,2013-11-09
2960964,Loch Garman,Loch Garman,"Loch Garman,Wexford",52.33417,-6.4575,P,PPLA2,IE,"",L,30,"","",19913,"",5,Europe/Dublin,2013-08-14
2960965,West Village,West Village,"",51.88333,-8.6,P,PPL,IE,"",M,04,"","",0,"",22,Europe/Dublin,2010-08-14
2960966,West Town,West Town,"Baile Thiar,West Town",55.26528,-8.22583,P,PPL,IE,"",U,06,"","",0,"",7,Europe/Dublin,2012-01-18
2960967,West Sister,West Sister,"Beenhenry,West Sister",52.2,-10.43333,T,HLL,IE,IE,M,11,"","",0,"",61,Europe/Dublin,2012-01-18
2960968,Westport House,Westport House,Westport House,53.79981,-9.5341,S,EST,IE,"",C,20,"","",0,"",13,Europe/Dublin,2015-03-08
2960969,Westport Bay,Westport Bay,"",53.80067,-9.60948,H,BAY,IE,"",C,20,"","",0,"",-9999,Europe/Dublin,2015-03-08
2960970,Westport,Westport,"Caair ny Mart,Cathair na Mart,Uehstport,Uestport,Westport,u~esutopoto,weseuteupoteu,Уестпорт,Уэстпорт,ویسٹپورت، کاؤنٹی میو,უესტპორტი,ウェストポート,웨스트포트",53.8,-9.51667,P,PPL,IE,"",C,20,"","",6200,"",19,Europe/Dublin,2012-02-28
2960971,Westmoreland Fort,Westmoreland Fort,"Fort Westmoreland,Westmoreland Fort",51.83333,-8.28333,S,FT,IE,IE,M,04,"","",0,"",27,Europe/Dublin,2012-01-18
2960972,An Iarmhí,An Iarmhi,"Contae na hIarmhi,Contae na hIarmhí,County Westmeath,Westmeath",53.5,-7.5,A,ADM2,IE,"",L,29,"","",86164,"",124,Europe/Dublin,2014-01-02
2960973,Westland Row Station,Westland Row Station,"Westland Row Passenger Station,Westland Row Station",53.35,-6.25,S,RSTN,IE,IE,L,33,"","",0,"",13,Europe/Dublin,2017-07-25
2960974,Westland House,Westland House,"",53.785,-6.89694,S,EST,IE,"",L,21,"","",0,"",80,Europe/Dublin,2010-08-14
2960975,Westfield,Westfield,"",51.55,-9.38333,S,EST,IE,"",M,04,"","",0,"",33,Europe/Dublin,1993-12-27
2960976,West Cove,West Cove,"",51.77917,-10.07694,P,PPL,IE,"",M,11,"","",0,"",183,Europe/Dublin,2010-08-14
2960977,West Court,West Court,"",52.54917,-7.39389,S,EST,IE,"",L,13,"","",0,"",69,Europe/Dublin,2010-08-14
2960978,Wells House,Wells House,"Wells,Wells House",52.52833,-6.34444,S,EST,IE,IE,L,30,"","",0,"",63,Europe/Dublin,2012-01-18
2960979,Wellmount House,Wellmount House,"",53.10472,-8.22778,S,BLDG,IE,"",C,10,"","",0,"",48,Europe/Dublin,2010-08-14
2960980,Wellingtonbridge,Wellingtonbridge,Wellingtonbridge,52.26333,-6.77833,P,PPL,IE,"",L,30,"","",0,"",17,Europe/Dublin,2012-01-18
2960981,Welchtown,Welchtown,"",54.81861,-7.87083,P,PPL,IE,"",U,06,"","",0,"",46,Europe/Dublin,2010-08-14
